"","concept_id","concept_name","domain_id","concept_class_id","vocabulary_id"
"47",4116339,"Malignant tumor of posterior wall of hypopharynx","condition","clinical finding","SNOMED"
"48",4181342,"Malignant tumor of hypopharynx","condition","clinical finding","SNOMED"
"49",4177243,"Malignant tumor of pharynx","condition","clinical finding","SNOMED"
"50",4114222,"Malignant tumor of head and neck","condition","clinical finding","SNOMED"
"51",4118989,"Malignant tumor of soft tissue of head, face and neck","condition","clinical finding","SNOMED"
"52",435495,"Malignant mast cell tumor of lymph nodes of head, face AND/OR neck","condition","clinical finding","SNOMED"
"53",4177107,"Malignant tumor of nasal cavity","condition","clinical finding","SNOMED"
"54",4181347,"Malignant tumor of maxillary sinus","condition","clinical finding","SNOMED"
"55",4181486,"Malignant tumor of nasal sinuses","condition","clinical finding","SNOMED"
"56",4178968,"Malignant tumor of larynx","condition","clinical finding","SNOMED"
"57",4095756,"Malignant tumor of bladder neck","condition","clinical finding","SNOMED"
"58",4180903,"Malignant tumor of soft tissue of neck","condition","clinical finding","SNOMED"
"59",4178979,"Malignant tumor of neck","condition","clinical finding","SNOMED"
"60",4200884,"Local recurrence of malignant tumor of thyroid gland","condition","clinical finding","SNOMED"
"61",4178976,"Malignant tumor of thyroid gland","condition","clinical finding","SNOMED"
"62",4181483,"Malignant tumor of parathyroid gland","condition","clinical finding","SNOMED"
"63",440036,"Primary malignant neoplasm of junctional zone of tongue","condition","clinical finding","SNOMED"
"64",440047,"Primary malignant neoplasm of tonsillar pillar","condition","clinical finding","SNOMED"
"65",432558,"Overlapping malignant neoplasm of nasopharynx","condition","clinical finding","SNOMED"
"66",4089649,"Malignant neoplasm of floor of nasopharynx","condition","clinical finding","SNOMED"
"67",36684473,"Primary malignant neoplasm of nasopharynx","condition","clinical finding","SNOMED"
"68",46271011,"Malignant neoplasm of superior wall of nasopharynx","condition","clinical finding","SNOMED"
"69",36716501,"Primary malignant epithelial neoplasm of nasopharynx","condition","clinical finding","SNOMED"
"70",438080,"Primary malignant neoplasm of anterior wall of nasopharynx","condition","clinical finding","SNOMED"
"71",438692,"Primary malignant neoplasm of lateral wall of nasopharynx","condition","clinical finding","SNOMED"
"72",436344,"Primary malignant neoplasm of posterior wall of nasopharynx","condition","clinical finding","SNOMED"
"73",441223,"Primary malignant neoplasm of superior wall of nasopharynx","condition","clinical finding","SNOMED"
"74",436923,"Primary malignant neoplasm of urinary bladder neck","condition","clinical finding","SNOMED"
"75",4181334,"Malignant tumor of upper gingiva","condition","clinical finding","SNOMED"
"76",4181335,"Malignant tumor of lower gingiva","condition","clinical finding","SNOMED"
"77",140955,"Overlapping malignant neoplasm of floor of mouth","condition","clinical finding","SNOMED"
"78",40492985,"Malignant neoplasm of anterior and lateral floor of mouth","condition","clinical finding","SNOMED"
"79",438982,"Primary malignant neoplasm of anterior portion of floor of mouth","condition","clinical finding","SNOMED"
"80",135750,"Primary malignant neoplasm of floor of mouth","condition","clinical finding","SNOMED"
"81",440344,"Primary malignant neoplasm of lateral portion of floor of mouth","condition","clinical finding","SNOMED"
"82",4095442,"Malignant neoplasm of nasal cavities, middle ear and accessory sinuses","condition","clinical finding","SNOMED"
"83",45757154,"Thyroid disease in mother complicating childbirth","condition","clinical finding","SNOMED"
"84",45770894,"Thyroiditis in mother complicating childbirth","condition","clinical finding","SNOMED"
"85",4049771,"Congenital cleft thyroid cartilage","condition","clinical finding","SNOMED"
"86",4037501,"Parathyroid hypocalcemic tetany","condition","clinical finding","SNOMED"
"87",4095447,"Malignant neoplasm of thyroid cartilage","condition","clinical finding","SNOMED"
"88",4099043,"Neoplasm of uncertain behavior of thyroid cartilage","condition","clinical finding","SNOMED"
"89",4096805,"Post-surgical hypoparathyroidism","condition","clinical finding","SNOMED"
"90",138207,"Thyroid dysfunction in the puerperium - baby delivered during current episode of care","condition","clinical finding","SNOMED"
"91",138484,"Thyroid dysfunction in the puerperium - baby delivered during previous episode of care","condition","clinical finding","SNOMED"
"92",4010219,"Open fracture of thyroid cartilage","condition","clinical finding","SNOMED"
"93",4018723,"Open division, thyroid cartilage ligament","condition","clinical finding","SNOMED"
"94",4329462,"Hypercalcemia due to hyperthyroidism","condition","clinical finding","SNOMED"
"95",4334869,"Cataract in hypoparathyroidism","condition","clinical finding","SNOMED"
"96",4034824,"Hypothyroidism due to iodide organification defect","condition","clinical finding","SNOMED"
"97",4130027,"Subclinical iodine deficiency hypothyroidism","condition","clinical finding","SNOMED"
"98",4082365,"Alopecia, nail dystrophy, ophthalmic complications, thyroid dysfunction, hypohidrosis, ephelides, enteropathy and respiratory tract infections","condition","clinical finding","SNOMED"
"99",4111010,"Follicular thyroid carcinoma","condition","clinical finding","SNOMED"
"100",4116228,"Papillary thyroid carcinoma","condition","clinical finding","SNOMED"
"101",4116229,"Mixed follicular and papillary thyroid carcinoma","condition","clinical finding","SNOMED"
"102",4112985,"Anaplastic thyroid carcinoma","condition","clinical finding","SNOMED"
"103",4111011,"Medullary thyroid carcinoma","condition","clinical finding","SNOMED"
"104",4116231,"Parathyroid carcinoma","condition","clinical finding","SNOMED"
"105",4263629,"Atypical subacute thyroiditis","condition","clinical finding","SNOMED"
"106",37016339,"Thyroiditis caused by amiodarone","condition","clinical finding","SNOMED"
"107",37016342,"Hypothyroidism caused by drug","condition","clinical finding","SNOMED"
"108",37208050,"Hypothyroidism caused by amiodarone","condition","clinical finding","SNOMED"
"109",4183767,"Thyroid surgical margin, involved by tumor","condition","clinical finding","SNOMED"
"110",4241674,"T4: Aerodigestive tract tumor invades adjacent structures (thyroid/cricoid cartilage, carotid artery, soft tissues of neck, prevertebral fascia/muscles, thyroid and/or esophagus)","condition","clinical finding","SNOMED"
"111",4240796,"T4: Tumor invades through cricoid or thyroid cartilage and/or extends into other tissues beyond the larynx (trachea, soft tissues of neck, thyroid, esophagus)","condition","clinical finding","SNOMED"
"112",4240311,"T4: Tumor invades through thyroid cartilage and/or extends to other tissues beyond the larynx (trachea, soft tissues of neck, pharynx)","condition","clinical finding","SNOMED"
"113",4240797,"T4: Tumor invades through thyroid cartilage, and/or extends into soft tissues of the neck, thyroid, and/or esophagus","condition","clinical finding","SNOMED"
"114",4240931,"T4: Thyroid tumor of any size extending beyond the thyroid capsule","condition","clinical finding","SNOMED"
"115",4262864,"pT4a: Tumor invades thyroid/cricoid cartilage, hyoid bone, thyroid gland, esophagus or central compartment of soft tissue (hypopharynx)","condition","clinical finding","SNOMED"
"116",4263525,"pT3: Tumor limited to the larynx with vocal cord fixation and/or invades any of the following: postcrocoid area, pre-epiglottic tissues, paraglottic space, and/or minor thyroid cartilage erosion (e.g., inner cortex) (larynx, supraglottis)","condition","clinical finding","SNOMED"
"117",4245474,"pT4a: Tumor invades through the thyroid cartilage and/or invades tissues beyond the larynx (e.g., trachea, soft tissues of the neck including deep extrinsic muscle of the tongue, strap muscles, thyroid, or esophagus) (larynx, supraglottis)","condition","clinical finding","SNOMED"
"118",4246063,"pT3: Tumor limited to the larynx with vocal cord fixation, and/or invades the paraglottic space, and/or minor thyroid cartilage erosion (larynx, glottis)","condition","clinical finding","SNOMED"
"119",4246151,"pT4a: Tumor invades through thyroid cartilage and/or invades tissues beyond the larynx (e.g., trachea, soft tissues of the neck including deep intrinsic muscle of the tongue, strap muscles, thyroid, or esophagus) (larynx, glottis)","condition","clinical finding","SNOMED"
"120",4246155,"pT4a: Tumor invades cricoid or thyroid cartilage and/or invades tissues beyond the larynx (e.g., trachea, soft tissues of the neck including deep extrinsic muscle of the tongue, strap muscles, thyroid, or esophagus) (larynx, subglottis)","condition","clinical finding","SNOMED"
"121",4161543,"pT4b: Tumor invades prevertebral fascia or encases carotid artery or mediastinal vessels (thyroid)","condition","clinical finding","SNOMED"
"122",4163999,"pT4b: Extrathyroidal anaplastic carcinoma - surgically unresectable (anaplastic carcinoma) (thyroid)","condition","clinical finding","SNOMED"
"123",4161566,"pT4a: Intrathyroidal anaplastic carcinoma - surgically resectable (anaplastic carcinoma) (thyroid)","condition","clinical finding","SNOMED"
"124",4164606,"pT4a: Tumor of any size extending beyond the thyroid capsule to invade subcutaneous soft tissues, larynx, trachea, esophagus, or recurrent laryngeal nerve (thyroid)","condition","clinical finding","SNOMED"
"125",4164165,"pN1b: Metastasis to unilateral, bilateral, or contralateral cervical or superior mediastinal lymph nodes (thyroid)","condition","clinical finding","SNOMED"
"126",4299810,"Calcifying panniculitis due to hyperparathyroidism","condition","clinical finding","SNOMED"
"127",4296487,"Calcifying panniculitis due to hyperparathyroidism in renal disease","condition","clinical finding","SNOMED"
"128",4307263,"Hurthle cell carcinoma of thyroid","condition","clinical finding","SNOMED"
"129",4312667,"Thyroid cancer metastatic to bone","condition","clinical finding","SNOMED"
"130",4176932,"Subclinical hyperthyroidism","condition","clinical finding","SNOMED"
"131",40483308,"Calcifying cyst of thyroid","condition","clinical finding","SNOMED"
"132",40488900,"Carcinoma of thyroid","condition","clinical finding","SNOMED"
"133",4167513,"Sprain of thyroid cartilage","condition","clinical finding","SNOMED"
"134",4183422,"Subclinical hypothyroidism","condition","clinical finding","SNOMED"
"135",442285,"Open wound of thyroid gland with complication","condition","clinical finding","SNOMED"
"136",4209865,"Cervical thyroid remnant","condition","clinical finding","SNOMED"
"137",442300,"Thyroid disease in mother complicating pregnancy, childbirth AND/OR puerperium","condition","clinical finding","SNOMED"
"138",46270966,"Diffuse sclerosing papillary thyroid carcinoma","condition","clinical finding","SNOMED"
"139",37396743,"Familial papillary thyroid carcinoma with renal papillary neoplasia syndrome","condition","clinical finding","SNOMED"
"140",36713418,"Papillary thyroid carcinoma with renal papillary neoplasia","condition","clinical finding","SNOMED"
"141",36713528,"Cataract due to idiopathic hypoparathyroidism","condition","clinical finding","SNOMED"
"142",36713529,"Cataract due to pseudohypoparathyroidism","condition","clinical finding","SNOMED"
"143",36717199,"Obesity, colitis, hypothyroidism, cardiac hypertrophy, developmental delay syndrome","condition","clinical finding","SNOMED"
"144",37110332,"Primary poorly differentiated carcinoma of thyroid gland","condition","clinical finding","SNOMED"
"145",37110333,"Primary undifferentiated carcinoma of thyroid gland","condition","clinical finding","SNOMED"
"146",36676291,"Primary differentiated carcinoma of thyroid gland","condition","clinical finding","SNOMED"
"147",37206370,"Familial nonmedullary thyroid carcinoma","condition","clinical finding","SNOMED"
"148",4197642,"Intrathyroidal calcification AND goiter syndrome","condition","clinical finding","SNOMED"
"149",4213595,"Congenital anomaly of thyroid cartilage","condition","clinical finding","SNOMED"
"150",139196,"Open wound of thyroid gland without complication","condition","clinical finding","SNOMED"
"151",4338540,"Focal thyroiditis","condition","clinical finding","SNOMED"
"152",4228189,"Closed fracture of thyroid cartilage","condition","clinical finding","SNOMED"
"153",35610411,"Overlapping malignant neoplasm of mouth","condition","clinical finding","SNOMED"
"154",261808,"Primary malignant neoplasm of vestibule of mouth","condition","clinical finding","SNOMED"
"155",4090226,"Malignant tumor of vestibule of mouth","condition","clinical finding","SNOMED"
"156",440044,"Overlapping malignant neoplasm of hypopharynx","condition","clinical finding","SNOMED"
"157",438691,"Overlapping malignant neoplasm of oropharynx","condition","clinical finding","SNOMED"
"158",4094850,"Malignant neoplasm of posterior pharynx","condition","clinical finding","SNOMED"
"159",40488898,"Malignant epithelial neoplasm of oropharynx","condition","clinical finding","SNOMED"
"160",40490990,"Malignant epithelial neoplasm of hypopharynx","condition","clinical finding","SNOMED"
"161",40492021,"Malignant neoplasm of lateral wall of oropharynx","condition","clinical finding","SNOMED"
"162",439746,"Primary malignant neoplasm of hypopharynx","condition","clinical finding","SNOMED"
"163",440345,"Primary malignant neoplasm of lateral wall of oropharynx","condition","clinical finding","SNOMED"
"164",432833,"Primary malignant neoplasm of oropharynx","condition","clinical finding","SNOMED"
"165",28083,"Primary malignant neoplasm of pharynx","condition","clinical finding","SNOMED"
"166",439739,"Primary malignant neoplasm of posterior wall of oropharynx","condition","clinical finding","SNOMED"
"167",35610172,"Malignant neoplasm of ventral surface of tongue","condition","clinical finding","SNOMED"
"168",133710,"Overlapping malignant neoplasm of lip","condition","clinical finding","SNOMED"
"169",436043,"Overlapping malignant neoplasm of tongue","condition","clinical finding","SNOMED"
"170",28356,"Overlapping malignant neoplasm of major salivary gland","condition","clinical finding","SNOMED"
"171",439745,"Primary malignant neoplasm of salivary gland duct","condition","clinical finding","SNOMED"
"172",4002498,"Overlapping malignant neoplasm of tonsil","condition","clinical finding","SNOMED"
"173",37018947,"Primary squamous cell carcinoma of palatine tonsil","condition","clinical finding","SNOMED"
"174",761907,"Primary adenocarcinoma of nasopharynx","condition","clinical finding","SNOMED"
"175",4093012,"Malignant neoplasm of upper lip, lipstick area","condition","clinical finding","SNOMED"
"176",4089516,"Malignant neoplasm of lower lip, external","condition","clinical finding","SNOMED"
"177",4090216,"Malignant tumor of upper labial mucosa","condition","clinical finding","SNOMED"
"178",4093647,"Malignant neoplasm of lower lip, buccal aspect","condition","clinical finding","SNOMED"
"179",4089520,"Malignant tumor of labial mucosa","condition","clinical finding","SNOMED"
"180",4089524,"Malignant neoplasm of base of tongue dorsal surface","condition","clinical finding","SNOMED"
"181",40381321,"Malignant neoplasm of dorsal surface of tongue","condition","clinical finding","SNOMED"
"182",4093650,"Malignant neoplasm of midline of tongue","condition","clinical finding","SNOMED"
"183",440655,"Malignant neoplasm of tongue, tip and lateral border","condition","clinical finding","SNOMED"
"184",4093651,"Malignant tumor of frenum linguae","condition","clinical finding","SNOMED"
"185",4094716,"Malignant tumor of upper buccal sulcus","condition","clinical finding","SNOMED"
"186",4090227,"Malignant tumor of lower buccal sulcus","condition","clinical finding","SNOMED"
"187",4090228,"Malignant tumor of upper labial sulcus","condition","clinical finding","SNOMED"
"188",4090229,"Malignant tumor of lower labial sulcus","condition","clinical finding","SNOMED"
"189",4091931,"Malignant neoplasm of anterior epiglottis","condition","clinical finding","SNOMED"
"190",4089647,"Malignant tumor of adenoid","condition","clinical finding","SNOMED"
"191",4092057,"Malignant tumor of pharyngeal recess","condition","clinical finding","SNOMED"
"192",4089652,"Malignant tumor aryepiglottic fold - hypopharyngeal aspect","condition","clinical finding","SNOMED"
"193",4089655,"Malignant tumor of Waldeyer's ring","condition","clinical finding","SNOMED"
"194",4089860,"Malignant melanoma of lip","condition","clinical finding","SNOMED"
"195",437226,"Malignant neoplasm of nasopharyngeal wall","condition","clinical finding","SNOMED"
"196",4084147,"Metastatic malignant neoplasm to nasopharynx","condition","clinical finding","SNOMED"
"197",37018880,"Primary squamous cell carcinoma of vermilion border of lip","condition","clinical finding","SNOMED"
"198",4112451,"Carcinoma of vermilion border of upper lip","condition","clinical finding","SNOMED"
"199",4110417,"Carcinoma of vermilion border of lower lip","condition","clinical finding","SNOMED"
"200",4111645,"Carcinoma of frenum of lip","condition","clinical finding","SNOMED"
"201",4112453,"Carcinoma of frenum of upper lip","condition","clinical finding","SNOMED"
"202",4112455,"Carcinoma of frenum of lower lip","condition","clinical finding","SNOMED"
"203",4112456,"Carcinoma of commissure of lip","condition","clinical finding","SNOMED"
"204",4112580,"Carcinoma of frenum linguae","condition","clinical finding","SNOMED"
"205",4112581,"Carcinoma of lingual tonsil","condition","clinical finding","SNOMED"
"206",4111653,"Carcinoma of upper gum","condition","clinical finding","SNOMED"
"207",4110422,"Carcinoma of lower gum","condition","clinical finding","SNOMED"
"208",4111654,"Carcinoma of anterior part of floor of mouth","condition","clinical finding","SNOMED"
"209",4110424,"Carcinoma of lateral part of floor of mouth","condition","clinical finding","SNOMED"
"210",4115130,"Carcinoma of soft palate","condition","clinical finding","SNOMED"
"211",4110425,"Carcinoma of uvula","condition","clinical finding","SNOMED"
"212",4111776,"Squamous cell carcinoma of buccal mucosa","condition","clinical finding","SNOMED"
"213",4111777,"Carcinoma of upper buccal sulcus","condition","clinical finding","SNOMED"
"214",4110428,"Carcinoma of lower buccal sulcus","condition","clinical finding","SNOMED"
"215",4110430,"Carcinoma of upper labial sulcus","condition","clinical finding","SNOMED"
"216",4115135,"Carcinoma of lower labial sulcus","condition","clinical finding","SNOMED"
"217",4111783,"Carcinoma of retromolar area","condition","clinical finding","SNOMED"
"218",4115137,"Malignant tumor of anterior pillar of fauces","condition","clinical finding","SNOMED"
"219",4115138,"Carcinoma of parotid gland","condition","clinical finding","SNOMED"
"220",4110432,"Carcinoma of submandibular gland","condition","clinical finding","SNOMED"
"221",4112585,"Carcinoma of sublingual gland","condition","clinical finding","SNOMED"
"222",4113107,"Carcinoma of lip, oral cavity and pharynx","condition","clinical finding","SNOMED"
"223",4111021,"Overlapping malignant neoplasm of oral cavity and lips and salivary glands","condition","clinical finding","SNOMED"
"224",4113108,"Squamous cell carcinoma of lip","condition","clinical finding","SNOMED"
"225",4116235,"Malignant tumor of salivary gland","condition","clinical finding","SNOMED"
"226",4153887,"Carcinoma of lip","condition","clinical finding","SNOMED"
"227",4149844,"Tongue carcinoma","condition","clinical finding","SNOMED"
"228",4150793,"Malignant tumor of lower labial mucosa","condition","clinical finding","SNOMED"
"229",4158473,"Carcinoma of base of tongue","condition","clinical finding","SNOMED"
"230",4158909,"Tonsil carcinoma","condition","clinical finding","SNOMED"
"231",4173799,"Carcinoma ventral surface of tongue","condition","clinical finding","SNOMED"
"232",4173800,"Carcinoma anterior 2/3 tongue ventrum","condition","clinical finding","SNOMED"
"233",4170450,"Carcinoma of anterior two-thirds of tongue - dorsal surface","condition","clinical finding","SNOMED"
"234",4173801,"Carcinoma of midline of tongue","condition","clinical finding","SNOMED"
"235",4168069,"Carcinoma of tongue base - dorsal surface","condition","clinical finding","SNOMED"
"236",4174593,"Squamous cell carcinoma of tongue","condition","clinical finding","SNOMED"
"237",4174910,"Squamous cell carcinoma of gum","condition","clinical finding","SNOMED"
"238",4081190,"Squamous cell carcinoma of floor of mouth","condition","clinical finding","SNOMED"
"239",4174595,"Squamous cell carcinoma of palate","condition","clinical finding","SNOMED"
"240",4115027,"Squamous cell carcinoma of skin of upper lip","condition","clinical finding","SNOMED"
"241",4109067,"Squamous cell carcinoma of skin of lower lip","condition","clinical finding","SNOMED"
"242",4145095,"Squamous cell carcinoma of mouth","condition","clinical finding","SNOMED"
"243",4201476,"Local recurrence of malignant tumor of buccal cavity","condition","clinical finding","SNOMED"
"244",22557,"Malignant tumor of submandibular gland","condition","clinical finding","SNOMED"
"245",4180785,"Malignant tumor of sublingual gland","condition","clinical finding","SNOMED"
"246",4180786,"Malignant tumor of buccal mucosa","condition","clinical finding","SNOMED"
"247",4181337,"Malignant tumor of uvula","condition","clinical finding","SNOMED"
"248",4178965,"Malignant tumor of retromolar area","condition","clinical finding","SNOMED"
"249",4177102,"Malignant tumor of vallecula","condition","clinical finding","SNOMED"
"250",4180909,"Malignant tumor of minor salivary gland","condition","clinical finding","SNOMED"
"251",436042,"Primary malignant neoplasm of anterior two-thirds of tongue","condition","clinical finding","SNOMED"
"252",4162118,"Malignant neoplasm of border of tongue","condition","clinical finding","SNOMED"
"253",4156114,"Primary malignant neoplasm of border of tongue","condition","clinical finding","SNOMED"
"254",134579,"Primary malignant neoplasm of buccal mucosa","condition","clinical finding","SNOMED"
"255",255192,"Primary malignant neoplasm of commissure of lip","condition","clinical finding","SNOMED"
"256",140950,"Primary malignant neoplasm of gum","condition","clinical finding","SNOMED"
"257",4155171,"Primary malignant neoplasm of lip","condition","clinical finding","SNOMED"
"258",440335,"Primary malignant neoplasm of lower gum","condition","clinical finding","SNOMED"
"259",4162861,"Primary malignant neoplasm of minor salivary gland","condition","clinical finding","SNOMED"
"260",439404,"Primary malignant neoplasm of oral cavity","condition","clinical finding","SNOMED"
"261",434588,"Primary malignant neoplasm of parotid gland","condition","clinical finding","SNOMED"
"262",31509,"Primary malignant neoplasm of tonsil","condition","clinical finding","SNOMED"
"263",435478,"Primary malignant neoplasm of upper gum","condition","clinical finding","SNOMED"
"264",132565,"Primary malignant neoplasm of vermilion border of lower lip","condition","clinical finding","SNOMED"
"265",138074,"Primary malignant neoplasm of vermilion border of upper lip","condition","clinical finding","SNOMED"
"266",4222105,"Basal cell carcinoma of upper lip","condition","clinical finding","SNOMED"
"267",4222267,"Basal cell carcinoma of lower lip","condition","clinical finding","SNOMED"
"268",4298740,"Basal cell carcinoma of skin of lip","condition","clinical finding","SNOMED"
"269",4300554,"Verrucous carcinoma of oral cavity","condition","clinical finding","SNOMED"
"270",4297188,"Malignant melanoma of oral cavity","condition","clinical finding","SNOMED"
"271",4297349,"Metastasis involving oral cavity","condition","clinical finding","SNOMED"
"272",4256777,"Squamous cell carcinoma of pharynx","condition","clinical finding","SNOMED"
"273",4169288,"Squamous cell carcinoma of mucous membrane of lower lip","condition","clinical finding","SNOMED"
"274",4302482,"Squamous cell carcinoma of mucous membrane of upper lip","condition","clinical finding","SNOMED"
"275",4169627,"Squamous cell carcinoma of oral mucous membrane","condition","clinical finding","SNOMED"
"276",4306501,"Undifferentiated carcinoma of nasopharynx","condition","clinical finding","SNOMED"
"277",4309248,"Squamous cell carcinoma of nasopharynx","condition","clinical finding","SNOMED"
"278",4309400,"Adenoid cystic carcinoma of salivary gland","condition","clinical finding","SNOMED"
"279",4306965,"Olfactory neuroblastoma","condition","clinical finding","SNOMED"
"280",4312929,"Polymorphous low grade adenocarcinoma of salivary gland","condition","clinical finding","SNOMED"
"281",4307152,"Adenocarcinoma of nasopharynx","condition","clinical finding","SNOMED"
"282",4307266,"Adenoid cystic carcinoma of submandibular gland","condition","clinical finding","SNOMED"
"283",4308627,"Adenoid cystic carcinoma of oropharynx","condition","clinical finding","SNOMED"
"284",4310565,"Mucoepidermoid carcinoma of submandibular gland","condition","clinical finding","SNOMED"
"285",4309545,"Squamous cell carcinoma of oropharynx","condition","clinical finding","SNOMED"
"286",4313754,"Adenoid cystic carcinoma of parotid gland","condition","clinical finding","SNOMED"
"287",4311283,"Malignant neoplasm of gum and contiguous sites","condition","clinical finding","SNOMED"
"288",4311287,"Mucoepidermoid carcinoma of salivary gland","condition","clinical finding","SNOMED"
"289",4308149,"Mucoepidermoid carcinoma of parotid gland","condition","clinical finding","SNOMED"
"290",4310839,"Malignant melanoma of skin of lower lip","condition","clinical finding","SNOMED"
"291",4309088,"Malignant melanoma of skin of upper lip","condition","clinical finding","SNOMED"
"292",4311719,"Primary Kaposi's sarcoma of oral cavity","condition","clinical finding","SNOMED"
"293",4310135,"Primary sarcoma of tongue","condition","clinical finding","SNOMED"
"294",4312798,"Carcinoma ex pleomorphic adenoma of parotid gland","condition","clinical finding","SNOMED"
"295",4314314,"Malignant mixed tumor of salivary gland","condition","clinical finding","SNOMED"
"296",40489409,"Diffuse non-Hodgkin's lymphoma of nasopharynx","condition","clinical finding","SNOMED"
"297",40489467,"Non-Hodgkin's lymphoma of nasopharynx","condition","clinical finding","SNOMED"
"298",40489483,"Non-Hodgkin's lymphoma of oral cavity","condition","clinical finding","SNOMED"
"299",40489963,"Diffuse non-Hodgkin's lymphoma of oral cavity","condition","clinical finding","SNOMED"
"300",40493011,"Follicular non-Hodgkin's lymphoma of tonsil","condition","clinical finding","SNOMED"
"301",40493017,"Follicular non-Hodgkin's lymphoma of oral cavity","condition","clinical finding","SNOMED"
"302",40493495,"Carcinoma of floor of mouth","condition","clinical finding","SNOMED"
"303",40493514,"Diffuse non-Hodgkin's lymphoma of tonsil","condition","clinical finding","SNOMED"
"304",40486169,"Follicular non-Hodgkin's lymphoma of nasopharynx","condition","clinical finding","SNOMED"
"305",40486174,"Malignant neoplasm of alveolus of maxilla","condition","clinical finding","SNOMED"
"306",40486201,"Nasopharyngeal carcinoma","condition","clinical finding","SNOMED"
"307",40486208,"Carcinoma of pharynx","condition","clinical finding","SNOMED"
"308",40486214,"Malignant neoplasm of alveolus dentalis","condition","clinical finding","SNOMED"
"309",40486637,"Non-Hodgkin's lymphoma of tonsil","condition","clinical finding","SNOMED"
"310",40487580,"Malignant epithelial neoplasm of alveolus dentalis","condition","clinical finding","SNOMED"
