concept_id,concept_name,domain_id,concept_class_id,vocabulary_id,DN include,DN_comment
4089530,Malignant tumor of lateral floor of mouth,condition,clinical finding,SNOMED,Yes,
4177101,Malignant tumor of floor of mouth,condition,clinical finding,SNOMED,Yes,
4112598,Malignant tumor of inferior surface of soft palate,condition,clinical finding,SNOMED,Yes,
4180787,Malignant tumor of hard palate,condition,clinical finding,SNOMED,Yes,
4181336,Malignant tumor of soft palate,condition,clinical finding,SNOMED,Yes,
4178964,Malignant tumor of palate,condition,clinical finding,SNOMED,Yes,
4180786,Malignant tumor of buccal mucosa,condition,clinical finding,SNOMED,Yes,
25189,Malignant tumor of oral cavity,condition,clinical finding,SNOMED,Yes,
4180784,Malignant tumor of parotid gland,condition,clinical finding,SNOMED,Yes,
4181333,Malignant tumor of major salivary gland,condition,clinical finding,SNOMED,Yes,
4094720,Malignant tumor of tonsillar pillar,condition,clinical finding,SNOMED,Yes,
4180783,Malignant tumor of lingual tonsil,condition,clinical finding,SNOMED,Yes,
4181339,Malignant tumor of tonsil,condition,clinical finding,SNOMED,Yes,
4180788,Malignant tumor of tonsillar fossa,condition,clinical finding,SNOMED,Yes,
4094721,Malignant tumor of posterior wall of oropharynx,condition,clinical finding,SNOMED,Yes,
4181338,Malignant tumor of oropharynx,condition,clinical finding,SNOMED,Yes,
4095312,Malignant tumor of nasopharynx,condition,clinical finding,SNOMED,Yes,
4094722,Malignant tumor of posterior wall of nasopharynx,condition,clinical finding,SNOMED,Yes,
4095313,Malignant tumor of anterior wall of nasopharynx,condition,clinical finding,SNOMED,Yes,
4116237,Malignant tumor of nasal cavity and nasopharynx,condition,clinical finding,SNOMED,Yes,
4177103,Malignant tumor of lateral wall of nasopharynx,condition,clinical finding,SNOMED,Yes,
4180789,Malignant tumor of pyriform fossa,condition,clinical finding,SNOMED,Yes,
4116339,Malignant tumor of posterior wall of hypopharynx,condition,clinical finding,SNOMED,Yes,
4181342,Malignant tumor of hypopharynx,condition,clinical finding,SNOMED,Yes,
4177104,Malignant tumor of postcricoid region,condition,clinical finding,SNOMED,Yes,
4177243,Malignant tumor of pharynx,condition,clinical finding,SNOMED,Yes,
444224,"Overlapping malignant neoplasm of lip, oral cavity and pharynx",condition,clinical finding,SNOMED,Yes,as covers all the regions of head and neck
436045,"Malignant neoplasm of lip, oral cavity and pharynx",condition,clinical finding,SNOMED,Yes,
4149839,Malignant tumor of middle ear and mastoid,condition,clinical finding,SNOMED,Yes,
4178957,Malignant tumor of middle ear,condition,clinical finding,SNOMED,Yes,
4177107,Malignant tumor of nasal cavity,condition,clinical finding,SNOMED,Yes,
4181486,Malignant tumor of nasal sinuses,condition,clinical finding,SNOMED,Yes,
4178968,Malignant tumor of larynx,condition,clinical finding,SNOMED,Yes,
440036,Primary malignant neoplasm of junctional zone of tongue,condition,clinical finding,SNOMED,Yes,
440047,Primary malignant neoplasm of tonsillar pillar,condition,clinical finding,SNOMED,Yes,
432558,Overlapping malignant neoplasm of nasopharynx,condition,clinical finding,SNOMED,Yes,
4089649,Malignant neoplasm of floor of nasopharynx,condition,clinical finding,SNOMED,Yes,
36684473,Primary malignant neoplasm of nasopharynx,condition,clinical finding,SNOMED,Yes,
46271011,Malignant neoplasm of superior wall of nasopharynx,condition,clinical finding,SNOMED,Yes,
36716501,Primary malignant epithelial neoplasm of nasopharynx,condition,clinical finding,SNOMED,Yes,
438080,Primary malignant neoplasm of anterior wall of nasopharynx,condition,clinical finding,SNOMED,Yes,
438692,Primary malignant neoplasm of lateral wall of nasopharynx,condition,clinical finding,SNOMED,Yes,
436344,Primary malignant neoplasm of posterior wall of nasopharynx,condition,clinical finding,SNOMED,Yes,
441223,Primary malignant neoplasm of superior wall of nasopharynx,condition,clinical finding,SNOMED,Yes,
4181334,Malignant tumor of upper gingiva,condition,clinical finding,SNOMED,Yes,
4181335,Malignant tumor of lower gingiva,condition,clinical finding,SNOMED,Yes,
140955,Overlapping malignant neoplasm of floor of mouth,condition,clinical finding,SNOMED,Yes,
40492985,Malignant neoplasm of anterior and lateral floor of mouth,condition,clinical finding,SNOMED,Yes,
438982,Primary malignant neoplasm of anterior portion of floor of mouth,condition,clinical finding,SNOMED,Yes,
135750,Primary malignant neoplasm of floor of mouth,condition,clinical finding,SNOMED,Yes,
440344,Primary malignant neoplasm of lateral portion of floor of mouth,condition,clinical finding,SNOMED,Yes,
4095442,"Malignant neoplasm of nasal cavities, middle ear and accessory sinuses",condition,clinical finding,SNOMED,Yes,
35610411,Overlapping malignant neoplasm of mouth,condition,clinical finding,SNOMED,Yes,
261808,Primary malignant neoplasm of vestibule of mouth,condition,clinical finding,SNOMED,Yes,
4090226,Malignant tumor of vestibule of mouth,condition,clinical finding,SNOMED,Yes,
440044,Overlapping malignant neoplasm of hypopharynx,condition,clinical finding,SNOMED,Yes,
438691,Overlapping malignant neoplasm of oropharynx,condition,clinical finding,SNOMED,Yes,
4094850,Malignant neoplasm of posterior pharynx,condition,clinical finding,SNOMED,Yes,
40488898,Malignant epithelial neoplasm of oropharynx,condition,clinical finding,SNOMED,Yes,
40490990,Malignant epithelial neoplasm of hypopharynx,condition,clinical finding,SNOMED,Yes,
40492021,Malignant neoplasm of lateral wall of oropharynx,condition,clinical finding,SNOMED,Yes,
439746,Primary malignant neoplasm of hypopharynx,condition,clinical finding,SNOMED,Yes,
440345,Primary malignant neoplasm of lateral wall of oropharynx,condition,clinical finding,SNOMED,Yes,
432833,Primary malignant neoplasm of oropharynx,condition,clinical finding,SNOMED,Yes,
28083,Primary malignant neoplasm of pharynx,condition,clinical finding,SNOMED,Yes,
439739,Primary malignant neoplasm of posterior wall of oropharynx,condition,clinical finding,SNOMED,Yes,
4112453,Carcinoma of frenum of upper lip,condition,clinical finding,SNOMED,Yes,
4112455,Carcinoma of frenum of lower lip,condition,clinical finding,SNOMED,Yes,
4111645,Carcinoma of frenum of lip,condition,clinical finding,SNOMED,Yes,
133710,Overlapping malignant neoplasm of lip,condition,clinical finding,SNOMED,Yes,
4093012,"Malignant neoplasm of upper lip, lipstick area",condition,clinical finding,SNOMED,Yes,
4089516,"Malignant neoplasm of lower lip, external",condition,clinical finding,SNOMED,Yes,
4090216,Malignant tumor of upper labial mucosa,condition,clinical finding,SNOMED,Yes,
4093647,"Malignant neoplasm of lower lip, buccal aspect",condition,clinical finding,SNOMED,Yes,
4089520,Malignant tumor of labial mucosa,condition,clinical finding,SNOMED,Yes,
37018880,Primary squamous cell carcinoma of vermilion border of lip,condition,clinical finding,SNOMED,Yes,
4112451,Carcinoma of vermilion border of upper lip,condition,clinical finding,SNOMED,Yes,
4110417,Carcinoma of vermilion border of lower lip,condition,clinical finding,SNOMED,Yes,
4112456,Carcinoma of commissure of lip,condition,clinical finding,SNOMED,Yes,
4111021,Overlapping malignant neoplasm of oral cavity and lips and salivary glands,condition,clinical finding,SNOMED,Yes,
4113108,Squamous cell carcinoma of lip,condition,clinical finding,SNOMED,Yes,
4153887,Carcinoma of lip,condition,clinical finding,SNOMED,Yes,
4150793,Malignant tumor of lower labial mucosa,condition,clinical finding,SNOMED,Yes,
255192,Primary malignant neoplasm of commissure of lip,condition,clinical finding,SNOMED,Yes,
4155171,Primary malignant neoplasm of lip,condition,clinical finding,SNOMED,Yes,
132565,Primary malignant neoplasm of vermilion border of lower lip,condition,clinical finding,SNOMED,Yes,
138074,Primary malignant neoplasm of vermilion border of upper lip,condition,clinical finding,SNOMED,Yes,
4169288,Squamous cell carcinoma of mucous membrane of lower lip,condition,clinical finding,SNOMED,Yes,
4302482,Squamous cell carcinoma of mucous membrane of upper lip,condition,clinical finding,SNOMED,Yes,
37116584,Primary squamous cell carcinoma of lip,condition,clinical finding,SNOMED,Yes,
132832,Primary malignant neoplasm of inner aspect of lip,condition,clinical finding,SNOMED,Yes,
137219,Primary malignant neoplasm of inner aspect of lower lip,condition,clinical finding,SNOMED,Yes,
138351,Primary malignant neoplasm of inner aspect of upper lip,condition,clinical finding,SNOMED,Yes,
133969,Primary malignant neoplasm of vermilion border of lip,condition,clinical finding,SNOMED,Yes,
4089524,Malignant neoplasm of base of tongue dorsal surface,condition,clinical finding,SNOMED,Yes,
4158473,Carcinoma of base of tongue,condition,clinical finding,SNOMED,Yes,
4168069,Carcinoma of tongue base - dorsal surface,condition,clinical finding,SNOMED,Yes,
36716610,Primary squamous cell carcinoma of base of tongue,condition,clinical finding,SNOMED,Yes,
256633,Primary malignant neoplasm of base of tongue,condition,clinical finding,SNOMED,Yes,
4170450,Carcinoma of anterior two-thirds of tongue - dorsal surface,condition,clinical finding,SNOMED,Yes,
4173800,Carcinoma anterior 2/3 tongue ventrum,condition,clinical finding,SNOMED,Yes,
436042,Primary malignant neoplasm of anterior two-thirds of tongue,condition,clinical finding,SNOMED,Yes,
35610172,Malignant neoplasm of ventral surface of tongue,condition,clinical finding,SNOMED,Yes,
436043,Overlapping malignant neoplasm of tongue,condition,clinical finding,SNOMED,Yes,
40381321,Malignant neoplasm of dorsal surface of tongue,condition,clinical finding,SNOMED,Yes,
4093650,Malignant neoplasm of midline of tongue,condition,clinical finding,SNOMED,Yes,
440655,"Malignant neoplasm of tongue, tip and lateral border",condition,clinical finding,SNOMED,Yes,
4093651,Malignant tumor of frenum linguae,condition,clinical finding,SNOMED,Yes,
4112580,Carcinoma of frenum linguae,condition,clinical finding,SNOMED,Yes,
4112581,Carcinoma of lingual tonsil,condition,clinical finding,SNOMED,Yes,
4149844,Tongue carcinoma,condition,clinical finding,SNOMED,Yes,
4173799,Carcinoma ventral surface of tongue,condition,clinical finding,SNOMED,Yes,
4173801,Carcinoma of midline of tongue,condition,clinical finding,SNOMED,Yes,
4174593,Squamous cell carcinoma of tongue,condition,clinical finding,SNOMED,Yes,
4162118,Malignant neoplasm of border of tongue,condition,clinical finding,SNOMED,Yes,
4156114,Primary malignant neoplasm of border of tongue,condition,clinical finding,SNOMED,Yes,
4310135,Primary sarcoma of tongue,condition,clinical finding,SNOMED,Yes,
44782589,Malignant melanoma of tongue,condition,clinical finding,SNOMED,Yes,
36717352,Primary squamous cell carcinoma of lingual tonsil,condition,clinical finding,SNOMED,Yes,
434587,Primary malignant neoplasm of dorsal surface of tongue,condition,clinical finding,SNOMED,Yes,
434289,Primary malignant neoplasm of lingual tonsil,condition,clinical finding,SNOMED,Yes,
437498,Primary malignant neoplasm of tongue,condition,clinical finding,SNOMED,Yes,
437220,Primary malignant neoplasm of ventral surface of tongue,condition,clinical finding,SNOMED,Yes,
4111653,Carcinoma of upper gum,condition,clinical finding,SNOMED,Yes,
4110422,Carcinoma of lower gum,condition,clinical finding,SNOMED,Yes,
4174910,Squamous cell carcinoma of gum,condition,clinical finding,SNOMED,Yes,
140950,Primary malignant neoplasm of gum,condition,clinical finding,SNOMED,Yes,
440335,Primary malignant neoplasm of lower gum,condition,clinical finding,SNOMED,Yes,
435478,Primary malignant neoplasm of upper gum,condition,clinical finding,SNOMED,Yes,
44782652,Malignant melanoma of gum,condition,clinical finding,SNOMED,Yes,
4246015,Primary malignant neoplasm of alveolar ridge mucosa,condition,clinical finding,SNOMED,Yes,
4311476,Primary malignant neoplasm of gingival mucosa,condition,clinical finding,SNOMED,Yes,
4111654,Carcinoma of anterior part of floor of mouth,condition,clinical finding,SNOMED,Yes,
4110424,Carcinoma of lateral part of floor of mouth,condition,clinical finding,SNOMED,Yes,
4112585,Carcinoma of sublingual gland,condition,clinical finding,SNOMED,Yes,
4081190,Squamous cell carcinoma of floor of mouth,condition,clinical finding,SNOMED,Yes,
4180785,Malignant tumor of sublingual gland,condition,clinical finding,SNOMED,Yes,
40493495,Carcinoma of floor of mouth,condition,clinical finding,SNOMED,Yes,
44783847,Malignant melanoma of floor of mouth,condition,clinical finding,SNOMED,Yes,
42537751,Primary adenocarcinoma of sublingual gland,condition,clinical finding,SNOMED,Yes,
42539700,Primary squamous cell carcinoma of sublingual gland,condition,clinical finding,SNOMED,Yes,
439738,Primary malignant neoplasm of sublingual gland,condition,clinical finding,SNOMED,Yes,
4111775,Carcinoma of hard palate,condition,clinical finding,SNOMED,Yes,
438694,Primary malignant neoplasm of hard palate,condition,clinical finding,SNOMED,Yes,
4115130,Carcinoma of soft palate,condition,clinical finding,SNOMED,Yes,
4110425,Carcinoma of uvula,condition,clinical finding,SNOMED,Yes,
4181337,Malignant tumor of uvula,condition,clinical finding,SNOMED,Yes,
254282,Primary malignant neoplasm of soft palate,condition,clinical finding,SNOMED,Yes,
434285,Primary malignant neoplasm of uvula,condition,clinical finding,SNOMED,Yes,
4001170,Overlapping malignant neoplasm of palate,condition,clinical finding,SNOMED,Yes,
4089644,Malignant neoplasm of junction of hard and soft palate,condition,clinical finding,SNOMED,Yes,
4166769,Palate carcinoma,condition,clinical finding,SNOMED,Yes,
4174595,Squamous cell carcinoma of palate,condition,clinical finding,SNOMED,Yes,
134290,Primary malignant neoplasm of palate,condition,clinical finding,SNOMED,Yes,
44784246,Malignant melanoma of palate,condition,clinical finding,SNOMED,Yes,
36715796,Primary adenocarcinoma of palate,condition,clinical finding,SNOMED,Yes,
4111776,Squamous cell carcinoma of buccal mucosa,condition,clinical finding,SNOMED,Yes,
134579,Primary malignant neoplasm of buccal mucosa,condition,clinical finding,SNOMED,Yes,
44782590,Malignant melanoma of buccal mucosa,condition,clinical finding,SNOMED,Yes,
28356,Overlapping malignant neoplasm of major salivary gland,condition,clinical finding,SNOMED,Yes,
439745,Primary malignant neoplasm of salivary gland duct,condition,clinical finding,SNOMED,Yes,
4094716,Malignant tumor of upper buccal sulcus,condition,clinical finding,SNOMED,Yes,
4090227,Malignant tumor of lower buccal sulcus,condition,clinical finding,SNOMED,Yes,
4090228,Malignant tumor of upper labial sulcus,condition,clinical finding,SNOMED,Yes,
4090229,Malignant tumor of lower labial sulcus,condition,clinical finding,SNOMED,Yes,
4111777,Carcinoma of upper buccal sulcus,condition,clinical finding,SNOMED,Yes,
4110428,Carcinoma of lower buccal sulcus,condition,clinical finding,SNOMED,Yes,
4110430,Carcinoma of upper labial sulcus,condition,clinical finding,SNOMED,Yes,
4115135,Carcinoma of lower labial sulcus,condition,clinical finding,SNOMED,Yes,
4115138,Carcinoma of parotid gland,condition,clinical finding,SNOMED,Yes,
4110432,Carcinoma of submandibular gland,condition,clinical finding,SNOMED,Yes,
4116235,Malignant tumor of salivary gland,condition,clinical finding,SNOMED,Yes,
22557,Malignant tumor of submandibular gland,condition,clinical finding,SNOMED,Yes,
4180909,Malignant tumor of minor salivary gland,condition,clinical finding,SNOMED,Yes,
4162861,Primary malignant neoplasm of minor salivary gland,condition,clinical finding,SNOMED,Yes,
439404,Primary malignant neoplasm of oral cavity,condition,clinical finding,SNOMED,Yes,
434588,Primary malignant neoplasm of parotid gland,condition,clinical finding,SNOMED,Yes,
4300554,Verrucous carcinoma of oral cavity,condition,clinical finding,SNOMED,Yes,
4169627,Squamous cell carcinoma of oral mucous membrane,condition,clinical finding,SNOMED,Yes,
4309400,Adenoid cystic carcinoma of salivary gland,condition,clinical finding,SNOMED,Yes,
4312929,Polymorphous low grade adenocarcinoma of salivary gland,condition,clinical finding,SNOMED,Yes,
4307266,Adenoid cystic carcinoma of submandibular gland,condition,clinical finding,SNOMED,Yes,
4310565,Mucoepidermoid carcinoma of submandibular gland,condition,clinical finding,SNOMED,Yes,
4313754,Adenoid cystic carcinoma of parotid gland,condition,clinical finding,SNOMED,Yes,
4311287,Mucoepidermoid carcinoma of salivary gland,condition,clinical finding,SNOMED,Yes,
4308149,Mucoepidermoid carcinoma of parotid gland,condition,clinical finding,SNOMED,Yes,
4312798,Carcinoma ex pleomorphic adenoma of parotid gland,condition,clinical finding,SNOMED,Yes,
4314314,Malignant mixed tumor of salivary gland,condition,clinical finding,SNOMED,Yes,
40489483,Non-Hodgkin's lymphoma of oral cavity,condition,clinical finding,SNOMED,Yes,
40489963,Diffuse non-Hodgkin's lymphoma of oral cavity,condition,clinical finding,SNOMED,Yes,
40493017,Follicular non-Hodgkin's lymphoma of oral cavity,condition,clinical finding,SNOMED,Yes,
44783846,Malignant melanoma of vestibule of mouth,condition,clinical finding,SNOMED,Yes,
36715797,Primary adenocarcinoma of parotid gland,condition,clinical finding,SNOMED,Yes,
36716485,Primary rhabdomyosarcoma of oral cavity,condition,clinical finding,SNOMED,Yes,
36717226,Primary squamous cell carcinoma of parotid gland,condition,clinical finding,SNOMED,Yes,
37116583,Primary squamous cell carcinoma of oral cavity,condition,clinical finding,SNOMED,Yes,
42537752,Primary adenocarcinoma of submandibular gland,condition,clinical finding,SNOMED,Yes,
42537753,Primary squamous cell carcinoma of submandibular gland,condition,clinical finding,SNOMED,Yes,
37204489,Malignant epithelial neoplasm of salivary gland,condition,clinical finding,SNOMED,Yes,
4247836,Primary malignant neoplasm of major salivary gland,condition,clinical finding,SNOMED,Yes,
433704,Primary malignant neoplasm of retromolar area,condition,clinical finding,SNOMED,Yes,
4312691,Primary malignant neoplasm of submaxillary gland,condition,clinical finding,SNOMED,Yes,
4115137,Malignant tumor of anterior pillar of fauces,condition,clinical finding,SNOMED,Yes,
44783848,Malignant melanoma of palatine arch,condition,clinical finding,SNOMED,Yes,
4002498,Overlapping malignant neoplasm of tonsil,condition,clinical finding,SNOMED,Yes,
37018947,Primary squamous cell carcinoma of palatine tonsil,condition,clinical finding,SNOMED,Yes,
4158909,Tonsil carcinoma,condition,clinical finding,SNOMED,Yes,
31509,Primary malignant neoplasm of tonsil,condition,clinical finding,SNOMED,Yes,
40493011,Follicular non-Hodgkin's lymphoma of tonsil,condition,clinical finding,SNOMED,Yes,
40493514,Diffuse non-Hodgkin's lymphoma of tonsil,condition,clinical finding,SNOMED,Yes,
40486637,Non-Hodgkin's lymphoma of tonsil,condition,clinical finding,SNOMED,Yes,
433709,Primary malignant neoplasm of tonsillar fossa,condition,clinical finding,SNOMED,Yes,
45768980,Primary squamous cell carcinoma of posterior wall of oropharynx,condition,clinical finding,SNOMED,Yes,
4091931,Malignant neoplasm of anterior epiglottis,condition,clinical finding,SNOMED,Yes,
4177102,Malignant tumor of vallecula,condition,clinical finding,SNOMED,Yes,
4308627,Adenoid cystic carcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
4309545,Squamous cell carcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45768872,Primary oxyphilic adenocarcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45768873,Primary basal cell adenocarcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45768874,Primary polymorphous low grade adenocarcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45768875,Primary papillary adenocarcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45768876,Primary mucinous adenocarcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45768877,Primary clear cell adenocarcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45768878,Primary adenocarcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45768978,Overlapping squamous cell carcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45768982,Primary squamous cell carcinoma of lateral wall of oropharynx,condition,clinical finding,SNOMED,Yes,
45768984,Primary squamous cell carcinoma of anterior surface of epiglottis,condition,clinical finding,SNOMED,Yes,
45773564,Primary squamous cell carcinoma of vallecula,condition,clinical finding,SNOMED,Yes,
45772951,Primary basaloid squamous cell carcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45769021,Primary basaloid carcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45769022,Primary papillary squamous cell carcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45769023,Primary spindle cell squamous cell carcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45769024,Primary adenosquamous carcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45769025,Primary lymphoepithelial carcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45769026,Primary squamous cell carcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45769027,Primary myoepithelial carcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45769028,Primary carcinoma ex pleomorphic adenoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45769029,Primary epithelial-myoepithelial carcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45771025,Primary cystadenocarcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45769030,Primary acinar cell carcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45769031,Primary mucoepidermoid carcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45769032,Primary infiltrating duct carcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
45771026,Primary salivary gland-type tumor of oropharynx,condition,clinical finding,SNOMED,Yes,
36715837,Primary undifferentiated carcinoma of oropharynx,condition,clinical finding,SNOMED,Yes,
436643,Primary malignant neoplasm of anterior aspect of epiglottis,condition,clinical finding,SNOMED,Yes,
438360,Primary malignant neoplasm of vallecula,condition,clinical finding,SNOMED,Yes,
761907,Primary adenocarcinoma of nasopharynx,condition,clinical finding,SNOMED,Yes,
4089647,Malignant tumor of adenoid,condition,clinical finding,SNOMED,Yes,
4092057,Malignant tumor of pharyngeal recess,condition,clinical finding,SNOMED,Yes,
437226,Malignant neoplasm of nasopharyngeal wall,condition,clinical finding,SNOMED,Yes,
4306501,Undifferentiated carcinoma of nasopharynx,condition,clinical finding,SNOMED,Yes,
4309248,Squamous cell carcinoma of nasopharynx,condition,clinical finding,SNOMED,Yes,
4306965,Olfactory neuroblastoma,condition,clinical finding,SNOMED,Yes,
4307152,Adenocarcinoma of nasopharynx,condition,clinical finding,SNOMED,Yes,
40489409,Diffuse non-Hodgkin's lymphoma of nasopharynx,condition,clinical finding,SNOMED,Yes,
40489467,Non-Hodgkin's lymphoma of nasopharynx,condition,clinical finding,SNOMED,Yes,
40486169,Follicular non-Hodgkin's lymphoma of nasopharynx,condition,clinical finding,SNOMED,Yes,
40486201,Nasopharyngeal carcinoma,condition,clinical finding,SNOMED,Yes,
44782582,Keratinizing squamous cell carcinoma of nasopharynx,condition,clinical finding,SNOMED,Yes,
44783851,Undifferentiated nonkeratinizing carcinoma of nasopharynx,condition,clinical finding,SNOMED,Yes,
45768977,Primary squamous cell carcinoma of nasopharynx,condition,clinical finding,SNOMED,Yes,
45769123,Nonkeratinizing carcinoma of the nasopharynx,condition,clinical finding,SNOMED,Yes,
36716502,Primary squamous cell carcinoma of pharyngeal tonsil,condition,clinical finding,SNOMED,Yes,
37018571,Primary adenoid cystic carcinoma of nasopharynx,condition,clinical finding,SNOMED,Yes,
3655852,Papillary squamous cell carcinoma of nasopharynx,condition,clinical finding,SNOMED,Yes,
4246793,Primary malignant neoplasm of adenoid,condition,clinical finding,SNOMED,Yes,
45769122,Primary squamous cell carcinoma of pyriform sinus,condition,clinical finding,SNOMED,Yes,
435190,Primary malignant neoplasm of pyriform sinus,condition,clinical finding,SNOMED,Yes,
45769108,Primary squamous cell carcinoma of posterior wall of hypopharynx,condition,clinical finding,SNOMED,Yes,
435474,Primary malignant neoplasm of posterior hypopharyngeal wall,condition,clinical finding,SNOMED,Yes,
4089652,Malignant tumor aryepiglottic fold - hypopharyngeal aspect,condition,clinical finding,SNOMED,Yes,
45768871,Primary adenocarcinoma of hypopharynx,condition,clinical finding,SNOMED,Yes,
45768882,Primary mucoepidermoid carcinoma of hypopharynx,condition,clinical finding,SNOMED,Yes,
45772941,Primary basaloid squamous cell carcinoma of hypopharynx,condition,clinical finding,SNOMED,Yes,
45768942,Primary papillary squamous cell carcinoma of hypopharynx,condition,clinical finding,SNOMED,Yes,
