concept_id,concept_name,domain_id,concept_class_id,vocabulary_id,Include DN,Comment DN
35610249,Malignant neoplasm of anterior wall of stomach,condition,clinical finding,SNOMED,Yes,
197803,Overlapping malignant neoplasm of stomach,condition,clinical finding,SNOMED,Unsure,wont know primary site?
4094856,Malignant tumor of cardia,condition,clinical finding,SNOMED,Yes,
4094857,Malignant neoplasm of cardiac orifice of stomach,condition,clinical finding,SNOMED,Yes,
4089658,Malignant neoplasm of cardio-esophageal junction of stomach,condition,clinical finding,SNOMED,Yes,
4095317,Malignant tumor of pylorus,condition,clinical finding,SNOMED,Yes,
4094859,Malignant neoplasm of pyloric canal of stomach,condition,clinical finding,SNOMED,Yes,
4092061,Malignant tumor of pyloric antrum,condition,clinical finding,SNOMED,Yes,
4110570,Carcinoma of cardia,condition,clinical finding,SNOMED,Yes,
4110572,Carcinoma of pyloric antrum,condition,clinical finding,SNOMED,Yes,
4112607,Carcinoma of pylorus,condition,clinical finding,SNOMED,Yes,
4174765,Gastric lymphoma,condition,clinical finding,SNOMED,,
44792336,Siewert type II adenocarcinoma,condition,clinical finding,SNOMED,,
44792337,Siewert type III adenocarcinoma,condition,clinical finding,SNOMED,,
44792338,Siewert type I adenocarcinoma,condition,clinical finding,SNOMED,,
196044,Primary malignant neoplasm of stomach,condition,clinical finding,SNOMED,Yes,
4155299,Carcinoma of stomach,condition,clinical finding,SNOMED,,
4248802,Adenocarcinoma of stomach,condition,clinical finding,SNOMED,Yes,
4208017,Siewert type I adenocarcinoma of esophagogastric junction,condition,clinical finding,SNOMED,,
4258546,Siewert type III adenocarcinoma of esophagogastric junction,condition,clinical finding,SNOMED,,
4207131,Siewert type II adenocarcinoma of esophagogastric junction,condition,clinical finding,SNOMED,,
40480206,Mucosa-associated lymphoid tissue (MALT) lymphoma of stomach,condition,clinical finding,SNOMED,Yes,
40486027,Lymphoma of pylorus of stomach,condition,clinical finding,SNOMED,Yes,
40486084,Leiomyosarcoma of cardia of stomach,condition,clinical finding,SNOMED,,
40486545,Lymphoma of pyloric antrum of stomach,condition,clinical finding,SNOMED,Yes,
40486566,Leiomyosarcoma of stomach,condition,clinical finding,SNOMED,,
40486590,Lymphoma of cardia of stomach,condition,clinical finding,SNOMED,Yes,
40490988,Diffuse non-Hodgkin's lymphoma of stomach,condition,clinical finding,SNOMED,Yes,
40491440,Non-Hodgkin's lymphoma of stomach,condition,clinical finding,SNOMED,Yes,
40493008,Leiomyosarcoma of cardioesophageal junction,condition,clinical finding,SNOMED,,
40493030,Lymphoma of cardioesophageal junction,condition,clinical finding,SNOMED,,
40486173,Follicular non-Hodgkin's lymphoma of stomach,condition,clinical finding,SNOMED,Yes,
36674609,Metastatic HER2 positive gastroesophageal junction cancer,condition,clinical finding,SNOMED,,
37396688,Epstein-Barr virus associated gastric carcinoma,condition,clinical finding,SNOMED,,
37396884,Hereditary diffuse carcinoma of stomach,condition,clinical finding,SNOMED,,
36717176,Primary adenocarcinoma of esophagogastric junction,condition,clinical finding,SNOMED,,
36715854,Linitis plastica of stomach,condition,clinical finding,SNOMED,,
36717490,Primary adenocarcinoma of cardia of stomach,condition,clinical finding,SNOMED,Yes,
36717177,Primary adenocarcinoma of pyloric antrum of stomach,condition,clinical finding,SNOMED,Yes,
36715856,Primary adenocarcinoma of overlapping lesion of stomach,condition,clinical finding,SNOMED,Unsure,unknown primary?
36715857,Primary malignant neuroendocrine neoplasm of stomach,condition,clinical finding,SNOMED,Yes,
36715858,Primary malignant neuroendocrine neoplasm of cardia of stomach,condition,clinical finding,SNOMED,Yes,
36715860,Primary malignant neuroendocrine neoplasm of pyloric antrum of stomach,condition,clinical finding,SNOMED,Yes,
36715861,Primary neuroendocrine carcinoma of stomach,condition,clinical finding,SNOMED,Yes,
36717178,Primary neuroendocrine carcinoma of cardia of stomach,condition,clinical finding,SNOMED,Yes,
36715863,Primary neuroendocrine carcinoma of pyloric antrum of stomach,condition,clinical finding,SNOMED,Yes,
36715864,Primary neuroendocrine carcinoma of overlapping lesion of stomach,condition,clinical finding,SNOMED,Yes,
36715865,Primary malignant mesenchymal neoplasm of stomach,condition,clinical finding,SNOMED,,
36716505,Primary malignant neoplasm of esophagogastric junction,condition,clinical finding,SNOMED,Unsure,
35624157,Undifferentiated carcinoma of stomach,condition,clinical finding,SNOMED,Yes,
35624315,Squamous cell carcinoma of stomach,condition,clinical finding,SNOMED,Yes,
3654887,Diffuse large B-cell lymphoma of stomach,condition,clinical finding,SNOMED,Yes,
432838,Primary malignant neoplasm of cardia of stomach,condition,clinical finding,SNOMED,Yes,
438089,Primary malignant neoplasm of pyloric antrum,condition,clinical finding,SNOMED,Yes,
192255,Primary malignant neoplasm of pylorus,condition,clinical finding,SNOMED,Yes,
